Source,Target,Weight,Raw distance
BGC0000664.1,NZ_JNXG01000010.region002,0.563075840473175,0.24961622059345245
BGC0000649.1,BGC0001227.1,0.2643742859363556,0.4858265817165375
BGC0000663.1,NZ_JNXG01000011.region003,0.3692590892314911,0.3923330903053284
BGC0000633.1,BGC0001456.1,0.4722163081169128,0.31282004714012146
BGC0001227.1,BGC0001456.1,0.5289162397384644,0.2727337181568146
BGC0000649.1,BGC0000664.1,0.9420571327209472,0.02940373308956623
BGC0000664.1,BGC0001227.1,0.4578229188919067,0.32337385416030884
BGC0001181.1,NZ_JNXG01000018.region004,0.31990891695022583,0.4343951046466827
BGC0000664.1,BGC0001456.1,0.48364111781120295,0.30455687642097473
BGC0000633.1,BGC0001227.1,0.2868443429470062,0.4644215106964111
BGC0001456.1,NZ_JNXG01000010.region002,0.19105899333953855,0.5628970265388489
BGC0001227.1,NZ_JNXG01000010.region002,0.16259734332561493,0.5967664122581482
BGC0000658.1,NZ_JNXG01000007.region001,0.4856538772583008,0.3031112849712372
BGC0000649.1,NZ_JNXG01000010.region002,0.3214933276176453,0.4329961836338043
BGC0000649.1,BGC0001456.1,0.2781866490840912,0.4725659787654877
